question,answer
"What is a tensor in the context of the book 'Deep Learning' by Ian Goodfellow, Yoshua Bengio, and Aaron Courville?","In the book 'Deep Learning', a tensor is defined as an array of numbers arranged on a regular grid with a variable number of axes, used for cases where we need an array with more than two axes."
How is the cross-entropy risk defined in Bayesian learning?,The cross-entropy risk is defined as the negative expected logarithm of the probability density function used to approximate the true unknown function.
What are the components of supervised machine learning?,"Components of supervised machine learning include learning from labeled data, regression, classification, parameter learning, overfitting, and regularization."
What does it mean for vectors to be linearly independent?,Vectors are linearly independent if no vector in the set can be written as a linear combination of the others.
What is the difference between supervised and human learning?,"Supervised learning involves machines identifying patterns in data to form heuristics, while human learning happens in a biological brain but with similar goals."
What is 'dimensionality reduction' in machine learning?,"Dimensionality reduction in machine learning refers to techniques that reduce the number of input variables in a dataset, simplifying models and reducing the computational cost."
What is the role of a validation set in machine learning?,"A validation set in machine learning is used to evaluate a model during training, providing a check against overfitting and helping in hyperparameter tuning."
What does 'bias' mean in the context of machine learning?,"In machine learning, bias refers to the error due to overly simplistic assumptions in the learning algorithm, which can lead to underfitting."
What is the importance of converting string type targets to integers in the MNIST dataset example?,Converting string type targets to integers is important because targets should be in a numerical form for machine learning models to process them.
What is the significance of the score in statistical learning?,The score is the gradient of the logarithm of the likelihood with respect to the parameter and is used in the process of finding the maximum likelihood estimator.
What does a normal linear model represent?,"A normal linear model is a linear model with normal error terms, where the response Y depends on a p-dimensional explanatory variable x via a linear relationship."
How can one address the challenge of finding the optimal number of clusters in k-means clustering?,"The optimal number of clusters in k-means clustering can be found by using cross-validation, which is discussed later in the book."
How does deep learning address the issue of representation in AI?,"Deep learning addresses representation issues by introducing representations that are expressed in terms of other, simpler representations."
Define the concept of an orthonormal set.,An orthonormal set is a set of vectors that are both orthogonal to each other and each have unit length.
What is 'data imbalancing' and how is it addressed in machine learning?,"Data imbalancing in machine learning refers to a situation where the number of observations in each class is not evenly distributed. It is addressed using techniques like resampling, generating synthetic samples, or modifying classification algorithms."
What does a linear model in statistical learning represent?,"In statistical learning, a linear model represents a relationship where the response Y depends linearly on a p-dimensional explanatory variable x."
What was a notable achievement by Google in AI in 2015?,"In 2015, Google trained a conversational agent (AI) capable of convincingly interacting with humans, discussing morality, expressing opinions, and answering factual questions."
What is logistic regression in classification?,"Logistic regression in classification predicts the probability of a target variable belonging to a certain class, like estimating the likelihood of a loan being fraudulent."
What features can the first hidden layer of a deep learning model typically identify from pixels?,"Given the pixels, the first hidden layer can easily identify edges by comparing the brightness of neighboring pixels."
What is 'data partitioning' in machine learning?,"Data partitioning in machine learning refers to the process of dividing a dataset into separate sets to prevent issues like model overfitting, and to provide a more accurate evaluation of the model's performance."
What is 'data imputation' in machine learning?,Data imputation in machine learning refers to the process of replacing missing data with substituted values.
"After improving the script with argparse, how can you now run the train.py script for a specific fold as per AAAMLP?","You can run the train.py script for a specific fold by using the command 'python train.py --fold 0', replacing '0' with the desired fold number."
What are 'decision boundaries' in machine learning?,Decision boundaries in machine learning are the surfaces that separate different predicted classes. The decision boundary is the region of a problem space in which the output label of a classifier is ambiguous.
What is 'data leakage' in machine learning?,"Data leakage in machine learning occurs when information from outside the training dataset is used to create the model, leading to a model that performs artificially well on the training data."
How does supervised machine learning differ from human learning?,"Supervised machine learning identifies patterns in data using computer hardware, whereas human learning occurs in a biological brain."
How is the exponential model used in the context of statistical learning?,"In the exponential model, the best approximating function within the family of exponential distributions is selected to maximize the likelihood of the data."
How is AI used in law enforcement and space exploration?,AI is utilized in law enforcement for processing body camera footage and by the Mars rover Curiosity for autonomously selecting soil and rock samples.
What are the examples of datasets commonly used for unsupervised machine learning?,Datasets for customer segmentation and credit card fraud detection are common examples of unsupervised machine learning datasets.
Which libraries did the author use for t-SNE decomposition in the MNIST dataset?,"The author used matplotlib, seaborn, numpy, pandas, and scikit-learn."
What is the transpose of a matrix?,"The transpose of a matrix is the mirror image of the matrix across a diagonal line, called the main diagonal."
What does the variance of a probability distribution measure?,The variance of a probability distribution measures how much the values of a function of a random variable differ from the expected value when the variable is sampled from its probability distribution【25†source】.
Define a scalar multiplication of a vector.,"Scalar multiplication of a vector is the operation of multiplying a vector by a scalar, scaling its magnitude."
What should you do if some packages are not available in the conda repository?,"If some packages are not available in the conda repository, you should install them using pip, which is the most preferred way according to the book."
What are examples of regression and classification in supervised learning?,"In supervised learning, regression might predict housing prices, while classification could determine if an image is of a cat or dog."
What do the 'hidden layers' in a deep learning model do?,The hidden layers in a deep learning model extract increasingly abstract features from the input data.
What is the significance of data representation in machine learning?,"The representation of data is crucial in machine learning, as it heavily influences the performance of algorithms. Effective representation is key to solving AI tasks and varies depending on the specific problem."
Define eigenvectors of a matrix.,Eigenvectors of a matrix are non-zero vectors that change by only a scalar factor when that matrix is applied to them.
What is a 'decision tree' in machine learning?,"A decision tree in machine learning is a flowchart-like tree structure where an internal node represents a feature, a branch represents a decision rule, and each leaf node represents the outcome."
How can supervised problems be divided in terms of the nature of the target variable?,"• Classification: predicting a category (e.g., dog or cat).
• Regression: predicting a value (e.g., house prices)."
How do you initiate the conda environment after installing everything correctly?,You can start the conda environment by typing conda init in the terminal after installing everything correctly.
What is an autoencoder?,"An autoencoder is a combination of an encoder function that converts input data into a different representation, and a decoder function that converts this new representation back into the original format."
How is the exponential model used in Bayesian learning?,"In the exponential model, the best approximating function within the family of exponential distributions is selected to maximize the likelihood of the data."
What is the marginal probability distribution?,The marginal probability distribution is the probability distribution over a subset of variables when the overall probability distribution over a set of variables is known. It can be computed with the sum rule for discrete variables or integration for continuous variables【25†source】.
What is the 'visible layer' in a deep learning model?,"The visible layer in a deep learning model contains the variables that we are able to observe, typically the raw input data."
What is machine learning?,"Machine learning is a capability of AI systems to extract patterns from raw data and make decisions, thereby acquiring their own knowledge."
How does depth enhance the performance in deep learning methods?,"Depth allows the system to execute more sequential instructions, each of which can refer back to results of earlier instructions, providing more computational power."
What are predictions about AI surpassing human capabilities?,"Predictions vary, with some experts suggesting AI could outperform humans in all tasks within 45 years."
What is 'grid search' in the context of hyperparameter tuning?,"Grid search in hyperparameter tuning is a method where a set of hyperparameters is systematically worked through, evaluating each combination to determine the best performance."
Can you give an example of a supervised learning problem?,"Predicting house prices given historical data with various features, or classifying images of cats and dogs knowing the correct labels beforehand."
What is a multinoulli distribution?,"The multinoulli or categorical distribution is a distribution over a single discrete variable with a finite number of states, parametrized by a vector representing the probability of each state【25†source】."
What are 'GANs' (Generative Adversarial Networks) in machine learning?,"GANs, or Generative Adversarial Networks, in machine learning are a class of artificial intelligence algorithms used in unsupervised machine learning, implemented by a system of two neural networks contesting with each other in a zero-sum game framework."
How is AI utilized in law enforcement and on Mars?,AI is used in law enforcement for processing body camera footage and by the Mars rover for autonomously selecting soil and rock samples.
What is 'reinforcement learning' in machine learning?,"Reinforcement learning in machine learning is a type of dynamic programming that trains algorithms using a system of reward and punishment, focusing on making sequences of decisions."
What is the difference between covariance and independence?,"Covariance measures how much two values are linearly related to each other, whereas independence is a stronger requirement that excludes any form of relationship, including nonlinear ones, between two variables【25†source】."
What is 'deep learning' in machine learning?,"Deep learning is a subset of machine learning involving neural networks with many layers, allowing for complex, sophisticated data modeling and analysis."
What is 'early stopping' in machine learning?,"Early stopping in machine learning is a form of regularization used to avoid overfitting when training a learner with an iterative method, such as gradient descent."
What did the author demonstrate using the MNIST dataset?,The author demonstrated how to convert a supervised dataset to an unsupervised setting for basic visualization using t-SNE.
What notable achievement did OpenAI accomplish in 2017?,OpenAI created agents that developed their own language for cooperation and defeated top professionals in 1v1 matches of Dota 2.
What is the maximum likelihood estimate?,"The maximum likelihood estimate is the parameter that maximizes the likelihood of the data, which is the joint density of the data evaluated at the points."
What is macro averaged precision?,Macro averaged precision is calculated by determining the precision for all classes individually and then averaging them【39†source】.
What is 'feature scaling' in machine learning?,Feature scaling in machine learning is a method used to normalize the range of independent variables or features of data.
Explain the concept of vector addition.,"Vector addition is the operation of adding two vectors together, by adding their corresponding components."
What is the relationship between the central limit theorem and the normal distribution?,"The central limit theorem states that the sum of many independent random variables tends towards a normal distribution, even if the original variables are not normally distributed, which is why many practical systems can be successfully modeled as normally distributed noise【25†source】."
How is macro precision calculated in a multi-class classification setup?,"Macro precision is calculated by first considering all classes except the current one as negative, then calculating true positive and false positive for each class individually, and finally, averaging these precisions across all classes【42†source】."
How is the accuracy_score_v2 function calculated?,"The accuracy_score_v2 function is calculated using the formula (TP + TN) / (TP + TN + FP + FN), where TP is true positives, TN is true negatives, FP is false positives, and FN is false negatives【31†source】."
What is the bias-variance tradeoff?,The bias-variance tradeoff involves balancing error from model oversimplification (bias) against error from training data sensitivity (variance).
What is the difference between the standard product and the element-wise product of two matrices?,"The standard product of two matrices results in a new matrix through a specific operation involving rows and columns, whereas the element-wise product, or Hadamard product, is just the product of the individual elements of the two matrices."
What is 'feature extraction' in machine learning?,Feature extraction in machine learning is the process of reducing the number of resources required to describe a large set of data accurately.
What is unsupervised learning in machine learning?,Unsupervised learning is a type of machine learning where the algorithm learns patterns from untagged data without any guidance.
What role does neuroscience play in deep learning?,"Neuroscience serves as an inspiration for deep learning, suggesting models and architectures, but it is not a rigid guide."
What is a scatterplot and how is it used in data analysis?,A scatterplot is a type of plot that uses dots to represent the values obtained for two different variables plotted along the x and y-axes. It is commonly used to visualize patterns or relationships between two quantitative variables.
What are the limitations of linear models in AI?,Linear models cannot learn complex functions like the XOR function and have limitations in recognizing patterns in more complex data.
How are features classified in data science?,"Features are classified as either quantitative (having numerical value, continuous or discrete) or qualitative (categorical or nominal, with fixed categories but no numerical meaning)."
Which command is used to create a new conda environment?,The command used to create a new conda environment is: conda create -n environment_name python=3.7.6.
What does the transpose of a matrix represent according to the book 'Deep Learning'?,"The transpose of a matrix is the mirror image of the matrix across the main diagonal, which runs down and to the right from the upper left corner."
"According to AAAMLP, what is an example of a variable that can be defined in the config.py file?","An example of a variable that can be defined in config.py is TRAINING_FILE, which specifies the path to the training data with folds."
"What were the earliest models of deep learning, and how were they motivated?","The earliest models, motivated by a neuroscientific perspective, were simple linear models designed to associate input values with an output through learned weights. This was known as cybernetics."
Define the row space of a matrix.,The row space of a matrix is the set of all possible linear combinations of its row vectors.
What does the layer's activations store besides information encoding factors of variation?,"Besides information encoding factors of variation, the layer's activations store state information to help execute a program that can make sense of the input."
What is the principle behind Bayesian learning?,Bayesian learning involves using Bayesian notation to represent different conditional approximating probability densities and true unknown probability densities.
What is the 'activation function' in neural networks?,"An activation function in neural networks is a mathematical function applied to the output of a neuron, which determines whether it should be activated or not."
"What type of problems were initially tackled successfully by AI, and what has been a more challenging set of problems?","Initially, AI successfully tackled problems requiring formal, mathematical rules that are difficult for humans but straightforward for computers. More challenging have been intuitive tasks like recognizing spoken words or faces, which are easy for people but hard to formally describe."
"How does the author of AAAMLP recommend passing arguments, such as fold numbers, into the training script?",The author recommends using the argparse module from the standard Python library to pass arguments like fold numbers to the training script.
What is the condition necessary for matrix inversion to be applicable?,Matrix inversion is applicable when the matrix inverse A−1 exists.
What is 'linear regression' in machine learning?,Linear regression in machine learning is a linear approach to modelling the relationship between a scalar response and one or more explanatory variables.
What is an empirical cumulative distribution function in data visualization?,The empirical cumulative distribution function (ECDF) is a step function that represents the proportion of observations less than or equal to each value in a dataset. It is used to visualize the cumulative distribution of quantitative variables.
What was the second wave of neural network research known as?,The second wave of neural network research was known as connectionism or parallel distributed processing.
What topics are covered in the first four chapters of the book?,"The first four chapters cover data reading, structuring, summarization, and visualization using Python's pandas package, the main ingredients of statistical learning, Monte Carlo techniques for simulation, estimation, optimization, and unsupervised learning techniques like density estimation and clustering."
How can overfitting be addressed in machine learning?,"Overfitting can be addressed by using more training data and regularization, which penalizes models for being overly complex."
What is an important operation involving matrices that is heavily utilized in mathematical analysis?,Matrix multiplication is an important operation involving matrices that is heavily utilized in mathematical analysis.
What is 'recurrent neural network' (RNN) in machine learning?,"A recurrent neural network (RNN) in machine learning is a type of artificial neural network where connections between nodes form a directed graph along a temporal sequence, allowing it to exhibit temporal dynamic behavior."
How do autoencoders ensure that the new representation preserves information?,"Autoencoders are trained to preserve as much information as possible when an input is run through the encoder and then the decoder, while also ensuring the new representation has desirable properties."
What is the importance of data in machine learning?,"Data is crucial in machine learning as it is used to train models, and the quality and quantity of data can significantly impact the performance of these models."
How do you activate the new conda environment that you have created?,You can activate the new conda environment using the command: conda activate environment_name.
Why does the train.py script drop the label column from the dataframe before fitting the model as shown in AAAMLP?,"The label column is dropped from the dataframe because it is the target variable, and the model should be trained only on the input features without the target included."
"If you face problems with some bash scripts and you are not an Ubuntu user, what does the author suggest?","If you are not an Ubuntu user and face problems with bash scripts, the author suggests installing Ubuntu in a virtual machine or using the Linux shell on Windows."
What is 'mini-batch gradient descent' in machine learning?,Mini-batch gradient descent in machine learning is a variation of stochastic gradient descent where updates to the parameters are made after computing the gradient of a subset of the data.
What is 'k-nearest neighbors' (KNN) in machine learning?,"K-nearest neighbors (KNN) in machine learning is a simple algorithm that stores all available cases and classifies new cases based on a similarity measure (e.g., distance functions)."
What is micro averaged precision?,Micro averaged precision involves calculating the class wise true positives and false positives and then using these to calculate the overall precision【40†source】.
What is the historical significance of IBM’s Deep Blue system?,"IBM's Deep Blue chess-playing system, which defeated world champion Garry Kasparov in 1997, represented an early success of AI in a formal environment."
What are support vector machines (SVMs)?,"SVMs are a type of parametric model used for classification tasks, such as identifying images or categorizing reviews, using geometric principles."
What is the principal components analysis?,Principal components analysis is a statistical procedure that uses an orthogonal transformation to convert a set of observations of possibly correlated variables into a set of values of linearly uncorrelated variables.
What is 'data normalization' in machine learning?,Data normalization in machine learning is a process that changes the range of pixel intensity values to help machine learning models learn more effectively.
How is the identity matrix structured?,The identity matrix has all the entries along the main diagonal as 1 and all other entries as 0.
What is the 'knowledge base' approach in artificial intelligence?,"This approach involves hard-coding knowledge about the world in formal languages, allowing computers to perform logical inference. However, it hasn't led to major successes in AI."
How is the sample mean calculated in data science?,"The sample mean is the average of data values, calculated as the sum of all data values divided by the number of values."
What is the purpose of the DecisionTreeClassifier in the train.py script from AAAMLP?,The DecisionTreeClassifier in the train.py script is used to initialize a simple decision tree classifier from the sklearn library to fit the model on the training data.
"What is the historical significance of inventors like Pygmalion, Daedalus, and Hephaestus in the context of artificial intelligence?","These mythical figures can be interpreted as legendary inventors, representing early human desires to create intelligent machines or artificial life."
What is the goal of linear regression?,The goal of linear regression is to predict a target value based on input data using a linear relationship.
Explain the concept of matrix similarity.,Two matrices are similar if one can be converted into the other via a similarity transformation involving an invertible matrix.
What is the main idea behind SVMs?,"SVMs focus on maximizing the margin, or the distance to the nearest point on either side of the classification line."
What is the role of 'activation functions' in neural networks?,"Activation functions in neural networks help determine the output of a node given an input or set of inputs, playing a crucial role in the network's ability to capture complex patterns."
What is 'hyperparameter' in machine learning?,"A hyperparameter in machine learning is a parameter whose value is set before the learning process begins, and it controls the behavior of the training algorithm."
What are some decomposition techniques used for making sense of unsupervised problems?,Principal Component Analysis (PCA) and t-distributed Stochastic Neighbour Embedding (t-SNE) are decomposition techniques used for unsupervised problems.
What will be the name of the environment created using the environment.yml file provided in the book?,The name of the environment created using the environment.yml file provided in the book will be 'ml'.
How does the representation of data affect machine learning algorithms?,The performance of machine learning algorithms heavily depends on the representation of the data they are given.
What is 'early stopping' in machine learning?,Early stopping in machine learning is a form of regularization used to avoid overfitting by stopping training when the model's performance on a validation set starts to deteriorate.
What are some methods for visualizing quantitative variables?,"Quantitative variables can be visualized using methods like boxplots, which represent the five-number summary (minimum, maximum, first, second, and third quartiles), and histograms, which show the distribution of the data across different intervals."
What is 'data cleaning' in machine learning?,"Data cleaning in machine learning involves correcting or removing corrupt, inaccurate, or irrelevant records from a dataset, improving the quality of the data for analysis."
Can unsupervised datasets be easily visualized in a two-dimensional setting?,Unsupervised datasets can be visualized in a two-dimensional setting to some extent by using techniques like t-SNE.
What distinguishes continuous from discrete quantitative features?,"Continuous quantitative features take values in a continuous range, like height or voltage, whereas discrete quantitative features have a countable number of possibilities, like a count."
What is a potential application for clustering in unsupervised machine learning?,Clustering can be applied to fraud detection in financial firms by dividing transactions into classes such as fraud or genuine.
Is Miniconda available for multiple operating systems?,"Yes, Miniconda is available for Linux, OSX, and Windows operating systems."
What is a 'feature' in machine learning?,A feature in machine learning is an individual measurable property or characteristic of a phenomenon being observed.
What is 'loss function' in machine learning?,"A loss function in machine learning is a method of evaluating how well your algorithm models your dataset. If predictions deviate from actual results, loss function outputs a higher number."
How are summary statistics for a quantitative feature presented?,"Summary statistics for a quantitative feature include the minimum, maximum, mean, standard deviation, and the three quartiles (25%, 50%, 75%)."
"In what way is deep learning a type of machine learning, and how does it differ?","Deep learning is a subset of machine learning characterized by learning representations of data as a hierarchy of concepts, where more abstract concepts are computed in terms of less abstract ones."
How are boxplots useful in comparing a quantitative variable across different levels of a qualitative variable?,Boxplots can be used to compare the distribution of a quantitative variable across different levels or categories of a qualitative variable. Each boxplot represents the distribution of the quantitative variable within a particular category.
What role does this state information play in the model?,"The state information helps the model to organize its processing, even if it has nothing to do with the content of the input specifically."
What is the determinant?,"The determinant is a value that can be computed from the elements of a square matrix, which describes certain properties of the matrix."
What is easier to tackle: a supervised problem or an unsupervised one?,A supervised problem is considerably easier to tackle than an unsupervised one.
What are the main libraries used for plotting and data manipulation for the MNIST dataset example?,"matplotlib, seaborn for plotting, numpy for handling numerical arrays, pandas for creating dataframes from numerical arrays, and scikit-learn for data and performing t-SNE."
What data structure is used to track sample counts for each class in weighted precision?,A Python collections Counter object is used to create a dictionary that tracks the sample count for each class when calculating weighted precision【41†source】.
What are sample quantiles in statistics?,"Sample quantiles are values that partition a dataset into intervals with equal probabilities, with the sample median being the 0.5-quantile. The 25th, 50th, and 75th percentiles are known as the first, second, and third quartiles."
What is artificial narrow intelligence (ANI)?,"ANI is AI that excels in a specific, narrowly defined task, like language translation or playing specific games."
How does deep learning differ from traditional machine learning?,Deep learning involves a greater amount of composition of learned functions or concepts than traditional machine learning.
What is 'underfitting' in machine learning?,"Underfitting in machine learning occurs when a model is too simple, both in terms of the structure and the data it has been trained on, and cannot capture the underlying trend of the data."
What is the importance of understanding machine learning concepts?,Understanding core machine learning concepts is vital for describing how modern AI technologies work and for building similar applications.
Explain what a homogeneous system of linear equations is.,A homogeneous system of linear equations is a system where all the constant terms are zero.
What are some common evaluation metrics in machine learning for classification problems?,"Common evaluation metrics for classification problems include Accuracy, Precision, Recall, F1 score, AUC, Log loss, Precision at k, Average precision at k, and Mean average precision at k."
What are the challenges associated with unsupervised problems in machine learning?,Assessing the results of unsupervised algorithms is challenging because it requires a lot of human interference or heuristics.
Define the inverse of a matrix.,"The inverse of a matrix is a matrix that, when multiplied with the original matrix, yields the identity matrix."
What are the characteristics of the Gaussian distribution?,"The Gaussian distribution, also known as the normal distribution, is defined by its mean µ and variance σ² or precision β, and is characterized by the classic 'bell curve' shape【25†source】."
What does the Kullback–Leibler risk measure in Bayesian learning?,The Kullback–Leibler risk measures the discrepancy between the proposed approximation and the true unknown function in Bayesian learning.
What is the MNIST dataset?,"The MNIST dataset is a popular dataset of handwritten digits, which is originally a supervised problem where each image has a correct label associated with it."
What is a tensor?,A tensor is a generalization of matrices to an array with more than two axes.
What is 'feature scaling' in machine learning?,"Feature scaling in machine learning involves adjusting the scale of features in the data, ensuring that no single feature dominates the learning process and improving the performance of the algorithms."
What is 'dropout' in the context of neural networks?,"Dropout in neural networks is a regularization technique where randomly selected neurons are ignored during training, which helps prevent overfitting."
What is matrix multiplication?,Matrix multiplication is a way of combining two matrices into one matrix.
What does the loss function in Bayesian learning measure?,"The loss function in Bayesian learning measures the discrepancy between a proposed approximation and the true function, using expected logarithmic differences."
What is a vector space?,"A vector space is a collection of vectors that can be added together and multiplied by scalars, following certain rules."
What is k-nearest neighbors (k-NN) in machine learning?,k-NN is a simple algorithm that labels a data point by finding the mean or mode of the labels of its k closest data points.
What does the depth of a logistic regression model depend on?,The depth of a logistic regression model depends on the definition of what constitutes a possible computational step or the set of operations used.
What is regression in supervised learning?,Regression predicts a continuous target variable based on input data.
What is 'bagging' in machine learning?,"Bagging, or Bootstrap Aggregating, in machine learning is an ensemble technique that improves the stability and accuracy of machine learning algorithms by combining multiple models."
"According to one perspective, what is deep learning in the context of representations?","Deep learning is the learning of the right representation for the data through a series of nested simple mappings, each described by a different layer of the model."
